seq_id,predicted_function,confidence
k99_33122_1,host_interaction,0.9100187
k99_5961_2,host_interaction,0.98042446
k99_35403_1,host_interaction,0.8707412
k99_43049_1,host_interaction,0.9532323
k99_94865_6,host_interaction,0.9539614
k99_54346_1,host_interaction,0.9548593
k99_60606_1,host_interaction,0.9728512
k99_90353_14,host_interaction,0.97995675
k99_65561_4,host_interaction,0.95445377
k99_14629_1,host_interaction,0.98956656
k99_9937_11,host_interaction,0.9354108
k99_108987_1,host_interaction,0.9824337
k99_68050_1,host_interaction,0.98156446
k99_87155_2,host_interaction,0.9885783
k99_3691_2,host_interaction,0.9425019
k99_32582_2,host_interaction,0.95035666
k99_14102_1,host_interaction,0.9386582
k99_19554_1,host_interaction,0.93644595
k99_21425_1,host_interaction,0.90828747
k99_39543_2,host_interaction,0.8761899
k99_100810_1,structural,0.98072356
k99_44984_2,structural,0.9048548
k99_69185_7,structural,0.8623456
k99_86702_2,structural,0.85404897
k99_105636_1,structural,0.9182259
k99_101945_1,structural,0.9611692
k99_78054_1,structural,0.9872247
k99_27652_1,structural,0.96970326
k99_4619_8,structural,0.9561946
k99_5792_1,structural,0.94888145
k99_99821_1,structural,0.988117
k99_75393_2,structural,0.9744363
k99_3252_1,replication,0.94779336
k99_27051_8,replication,0.9716178
k99_24214_1,replication,0.9854622
k99_12465_1,replication,0.96906763
k99_55731_1,replication,0.9327499
k99_90565_3,replication,0.9703379
k99_23057_1,replication,0.9593456
k99_66250_3,replication,0.93002623
k99_728_1,replication,0.97724074
k99_3430_1,replication,0.9899573
k99_50800_1,replication,0.9714616
k99_22555_1,replication,0.9557716
k99_61507_2,transcription,0.98070025
k99_1016_3,transcription,0.9458054
k99_21584_1,transcription,0.93435025
k99_9278_1,transcription,0.9562906
k99_76786_1,transcription,0.9308787
k99_21476_2,transcription,0.96700054
